STATcube

Studies at public universities (Q)
Semester, Sex and Universität (Ebene +1) by Ordinary Studies and Kind of study
Counting: Ordinary Studies

Semester,Sex,University (Ebene +1),Values,Kind of study,Number,Annotations,Column1
winter semester 2010/11,female,University of the arts,Ordinary Studies,Bachelor studies,1672,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Diploma studies,2935,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Master studies,829,,
winter semester 2010/11,female,University of the arts,Ordinary Studies,Doctoral studies,443,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Bachelor studies,74213,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Diploma studies,51226,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Master studies,12381,,
winter semester 2010/11,male,University of the sciences,Ordinary Studies,Doctoral studies,15448,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Bachelor studies,1349,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Diploma studies,2077,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Master studies,603,,
winter semester 2010/11,male,University of the arts,Ordinary Studies,Doctoral studies,402,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Bachelor studies,78247,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Diploma studies,65091,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Master studies,12880,,
summer semester 2011,female,University of the sciences,Ordinary Studies,Doctoral studies,13436,,
summer semester 2011,female,University of the arts,Ordinary Studies,Bachelor studies,1602,,
summer semester 2011,female,University of the arts,Ordinary Studies,Diploma studies,2761,,
summer semester 2011,female,University of the arts,Ordinary Studies,Master studies,812,,
summer semester 2011,female,University of the arts,Ordinary Studies,Doctoral studies,460,,
summer semester 2011,male,University of the sciences,Ordinary Studies,Bachelor studies,72501,,
summer semester 2011,male,University of the sciences,Ordinary Studies,Diploma studies,47892,,
summer semester 2011,male,University of the sciences,Ordinary Studies,Master studies,13069,,
summer semester 2011,male,University of the sciences,Ordinary Studies,Doctoral studies,15303,,
summer semester 2011,male,University of the arts,Ordinary Studies,Bachelor studies,1296,,
summer semester 2011,male,University of the arts,Ordinary Studies,Diploma studies,1968,,
summer semester 2011,male,University of the arts,Ordinary Studies,Master studies,586,,
summer semester 2011,male,University of the arts,Ordinary Studies,Doctoral studies,397,,
winter semester 2011/12,female,University of the sciences,Ordinary Studies,Bachelor studies,85866,,
winter semester 2011/12,female,University of the sciences,Ordinary Studies,Diploma studies,63509,,
winter semester 2011/12,female,University of the sciences,Ordinary Studies,Master studies,15870,,
winter semester 2011/12,female,University of the sciences,Ordinary Studies,Doctoral studies,13482,,
winter semester 2011/12,female,University of the arts,Ordinary Studies,Bachelor studies,1693,,
winter semester 2011/12,female,University of the arts,Ordinary Studies,Diploma studies,2863,,
winter semester 2011/12,female,University of the arts,Ordinary Studies,Master studies,907,,
winter semester 2011/12,female,University of the arts,Ordinary Studies,Doctoral studies,465,,
winter semester 2011/12,male,University of the sciences,Ordinary Studies,Bachelor studies,80000,,
winter semester 2011/12,male,University of the sciences,Ordinary Studies,Diploma studies,45989,,
winter semester 2011/12,male,University of the sciences,Ordinary Studies,Master studies,15447,,
winter semester 2011/12,male,University of the sciences,Ordinary Studies,Doctoral studies,15340,,
winter semester 2011/12,male,University of the arts,Ordinary Studies,Bachelor studies,1397,,
winter semester 2011/12,male,University of the arts,Ordinary Studies,Diploma studies,1990,,
winter semester 2011/12,male,University of the arts,Ordinary Studies,Master studies,634,,
winter semester 2011/12,male,University of the arts,Ordinary Studies,Doctoral studies,407,,
summer semester 2012,female,University of the sciences,Ordinary Studies,Bachelor studies,82354,,
summer semester 2012,female,University of the sciences,Ordinary Studies,Diploma studies,58743,,
summer semester 2012,female,University of the sciences,Ordinary Studies,Master studies,16684,,
summer semester 2012,female,University of the sciences,Ordinary Studies,Doctoral studies,13471,,
summer semester 2012,female,University of the arts,Ordinary Studies,Bachelor studies,1630,,
summer semester 2012,female,University of the arts,Ordinary Studies,Diploma studies,2747,,
summer semester 2012,female,University of the arts,Ordinary Studies,Master studies,902,,
summer semester 2012,female,University of the arts,Ordinary Studies,Doctoral studies,469,,
summer semester 2012,male,University of the sciences,Ordinary Studies,Bachelor studies,77747,,
summer semester 2012,male,University of the sciences,Ordinary Studies,Diploma studies,42350,,
summer semester 2012,male,University of the sciences,Ordinary Studies,Master studies,16242,,
summer semester 2012,male,University of the sciences,Ordinary Studies,Doctoral studies,15249,,
summer semester 2012,male,University of the arts,Ordinary Studies,Bachelor studies,1361,,
summer semester 2012,male,University of the arts,Ordinary Studies,Diploma studies,1915,,
summer semester 2012,male,University of the arts,Ordinary Studies,Master studies,626,,
summer semester 2012,male,University of the arts,Ordinary Studies,Doctoral studies,404,,
winter semester 2012/13,female,University of the sciences,Ordinary Studies,Bachelor studies,89420,,
